Title,Link,Posted_on,Budget,Description,Country,Total_jobs_posted,Open_jobs,Total_reviews,Rating,Total_hires,Client_since,Client_spent
Medical Records Custodian/Collector Needed at Premier Personal Injury Law Firm,https://www.upwork.com/job/~010e4e1add0f1cd85b,2021-07-19T05:11:10.589Z,0 USD,"We are a personal injury law firm looking for someone to handle the medical records/billing collection of all the clients of our firm. The exclusive duty of this person would be to collect medical records and bills as quickly as possible. The applicant should be driven, tireless, persistent, and organized as they would be responsible for collecting medical records/bills for at least 15 clients a week and maintaining the spreadsheet for all clients in the firm.  The applicant would need to be persistent at making phone calls during business hours on PST to medical providers to make sure medical records and bills are coming in.  The applicant also needs to be tech savvy as we maintain all records and bills in our case management software (we use Filevine).

Some experience in personal injury would be preferred, but not required. We are looking for someone that is committed to being with the law firm on a long term basis. There is economic growth and opportunity with the firm.",United States,12,2,7,5,10,2020-05-17T00:00:00.000Z,21839.68 USD
Executive assistant needed for CEO in  e-commerce,https://www.upwork.com/job/~01aeafdd784c101033,2021-07-19T04:56:25.224Z,0 USD,"I’m a CEO of an e-commerce business in need of an executive assistant. 

If you have prior  experience as an executive assistant, you don’t need a job description because you already are aware of what the role of an EA consists of: 

EA: Assisting the executive in the wide ranging tasks that the executive will do, the predictable and unpredictable. 

This isn’t a posting for a full time executive assistant. 

It’s a posting  for a remote role specific EA position that serves as a 3 month paid interview process of working with remote EAs to find the EA that works well with me and has the best working chemistry. 

 I don’t know you, and you don’t know me. I don’t believe that you and I should jump head first into our working relationship without knowing if we are the best possible CEO/EA tandem on the planet! Taking on 1 role at a time and mastering that is better than taking on multiple roles at a time and being “ok” at all of them. 

I believe that I shouldn’t  require you to dedicate a long portion of your  life learning and working for an executive only to settle for a working relationship that’s “ok, manageable, or that pays the bills”  just because you “needed a job” and just tried to “make it work” with an executive you agreed to take the job for after going on a couple short interviews. 

There’s no way to really determine if we are the best pairing of an executive/executive assistant in the world in just 1 or two interviews. 

 You won’t  even know if you want to be my executive assistant until you work with me in a few defined roles and see how much you like working with me as well as how much I like working with you. ( my determinating  framework is:  “Do i get more important work done with you than I would with an average EA”) 

This first defined role is to help me execute a number of tech projects that need to be executed in a time sensitive manner and in rapid fire action. 

 If there’s a project that needs to be executed, it has to have a clear start and stop date and be completed underbudget. 

Ok, now for the details of this role: 


The way I’m looking to have this executive assistant work, is by: 

1.  Mentally grasping the project I’m trying to accomplish perfectly. 
2.  explaining it to an expert freelancer here on upwork with the understating of the time constraint. 
3. following up until completion under budget. 

Types of projects: 
Software Tech projects
Advertised tech projects
E-commerce platform tech projects

I’ll set the direction on every  project, but interviewing, hiring, explain, and checking for completion is simply too hard for me to do on my own. A good executive assistant understands what it’s like to do something like this and help me execute my projects in THIS particular manner (where clarity, speed, and completion are king)

Example of Project length time: 

24 hour, 48 hour, 72 hours, or 5 day projects. 

Ex: 72 hours: 

1.understand that the simplicity of this project is indeed a 72 hour project. 

2.Hire someone from upwork that is specialized enough to do the task. 

If they can’t finish it in the same time frame after being explained the project fully, either I set the wrong direction, or the “expert from upwork” is not really an “expert”

If this sounds like something you might be interested in, please apply.",United States,137,6,16,4.77,34,2020-04-16T00:00:00.000Z,29538.91 USD
Shopify SEO expert needed for on and offsite implementation,https://www.upwork.com/job/~0175cd84480d40b664,2021-07-19T01:22:42.425Z,0 USD,"Looking for a highly qualified SEO expert to do on-page and off-page SEO audit and full implementation on Shopify based website for natural high ranking and to make sure compliant with new Google Core Web vital changes. 

Need to be able to make proficient changes in Shopify liquid code to correct any issues related to the SEO audit errors warnings, and recommendations.

",Canada,26,2,11,5,19,2009-11-23T00:00:00.000Z,33215.47 USD
SaaS Strategy and Marketing,https://www.upwork.com/job/~0198bb86e578d3ce9d,2021-07-18T18:40:27.724Z,0 USD,"Background
We own a website called RoMonitor that tracks data from the Roblox gaming platform - https://stats.romonitor.silicon.digital/

RoMonitor has enormous potential to become Roblox’s #1 data and market analysis tool and we believe there there may be a SaaS opportunity, based on similar services such as App Annie and Sensor Tower. 

The consultant will work directly with our CEO and the tech leadership team that created RoMonitor.  You will be well supported in having partners to brainstorm, workshop and present to for feedback.  

Engagement Objectives
Product Objectives
Evaluate existing RoMonitor website
Suggest product improvements including UX, usability, and data utilization 

SaaS Strategy
Who are the potential paying customers of RoMonitor
What is the right SaaS product and pricing for these segments 
What other changes are needed to reach these segments - eg branding, etc.

Go-to-market
What is the marketing plan for SaaS launch

Qualifications
Deep passion for tech and SaaS
7-10 years in tech and SaaS and / or management consulting 
4-year degree from a top university, MBA is a plus 
Experience product managing and / or marketing SaaS products at top tech companies
Experience with B2B sales strategy
Some knowledge of / passion for interactive gaming is a plus
Superb written and verbal communication skills
",United States,27,2,10,5,21,2019-12-10T00:00:00.000Z,143612.59 USD
Project Manager Technical Lead,https://www.upwork.com/job/~0191f1bc4d747cf13c,2021-07-18T12:56:08.000Z,0 USD,"About the Company
We are developing a platform for organizing logistics services in the transportation sector. 
Our system will allow users to manage loads, post orders, track delivery dates, and a lot more functionalities. 
What we are Looking For
We are looking for a strong technical Project Manager to help us manage our development team for our web and mobile applications.
This role will help oversee remote developers in multiple countries/time zones while working with a leadership team based in the US. 
Accordingly, strong written and oral communication skills are a must. 
Your primary areas of responsibility include: 
- Leading the team by working closely with developers and the product team
- Facilitate the team processes with meetings, daily standups/reporting, and more
- Maintain full visibility of the project schedule and potential roadblocks
- Share process improvement knowledge and skills to streamline the processes in the organization
- Manage the project documentation
- Identify resources needed 
Must have: 
- Knowledge of Jira road mapping and project scheduling expertise
- Figma and storyboard comprehension
- Development and coding experience to have a first-hand view of where the project is going
- The ability to work out requirements for integrating to external apps/data sources like trackers, chat, maps, and others
Plus factors:
- A technical background and experience with Angular, Firebase, and GitLab (or similar DevOps tool)  
- A background in transportation management and logistics",United States,14,1,9,4.98,12,2020-10-01T00:00:00.000Z,26099.94 USD
Expert needed: Medium.com / personal branding,https://www.upwork.com/job/~01e4fdb8b9bb12573f,2021-07-18T11:12:12.119Z,0 USD,"I am a founder looking to increase my personal branding effort in the industry and domain area of our business.  We are a research agency and digital consultant to major food brands. 

We have a branding professional in house who is very busy with the business brand. I am looking for somebody that can help more with my personal brand, where the content will be more generally related to digital and digital innovation, not specifically around our product (less sales oriented). 

Specifically I need help in: 
1. Creating a Medium profile and making sure that the content I intend to put there fits that platform in terms of format.  And can this be used to leverage my LI profile and followers.
2. Podcast - we have a podcast technical support and can recruit interesting guests.  But I want to be sure the content strategy aligns with Medium / LI.  Again the goal of being an interesting and valuable resource / authority in the industry not just about selling tactics.",United States,191,5,86,4.81,101,2013-02-04T00:00:00.000Z,57945.38 USD
Tier 2 Help Desk Support,https://www.upwork.com/job/~014e39f5368552da04,2021-07-18T08:58:38.408Z,0 USD,"INVAR Technologies is a Premier Microsoft Solution Provider in NYC and we are seeking an experienced Tier 2 Technician to join our growing support team. Successful candidate will be responsible for monitoring, supporting and optimizing our customer’s workstations, printers, VoIP phones and other network devices. We are looking for someone who can solve most workstation issues independently. The ideal candidate will work with other help desk staff and end users directly to help resolve user experience issues.

This is a great role for someone with basic IT knowledge to get hands-on experience and work in an environment that fosters learning and gives opportunities to those that can show they’re interested in furthering their career.
In this position, you will serve as the main technical interface to the client and have a direct impact on client satisfaction. Therefore, candidates should also have a demonstrated ability to work independently with little supervision and possess a high level of customer service skill. Excellent written and oral communication skills are also crucial, as well as being able to work with technical, non-technical, and executive staff.

Support Role Responsibilities
•	Answer all incoming calls and creating a ticket by documenting the reported issue and all prominent details.
•	Troubleshoot and provide IT support remotely Microsoft’s core business applications and operating systems
•	Provide basic technical support at the network level: WAN and LAN connectivity, switches, firewalls and all connected peripheral devices.
•	Independently resolve most issues with Windows 7, 10, network printers and VoIP
•	Provide basic support for end users for remote access solution, LogmeIn
•	Monitor the remote monitoring and management system alerts and notifications, and respond accordingly through service tickets.
•	Keep good notes about what was done and all system changes in the ticketing system and documentation system (IT Glue)
•	Communications with customers on-daily basis: keeping them informed of incident progress, notifying them of impending changes, and setting appropriate expectations for resolution times
•	Provide friendly, professional support via phone, email and our ticketing system 
•	Work with the Office 365 admin portal to resolve user issues (password resets, new user creation, license assignment, software installation etc.)
•	Collaborate with vendors to resolve issues as necessary
•	Train & provide support to client staff on new technology implementations
•	Learn new technologies and participate in vendor training and certification programs
•	Improve customer service, perception, and satisfaction.
•	Escalate service requests that require engineer level support.
•	Responsible for entering time and expenses as they occur.

Qualifications
•	Excellent Verbal and Written English Communication
•	Ability to work and be available during 8:30 - 6pm shift EST
•	Availability to work after hours and weekends (infrequent & compensated)
•	Strong knowledge of Windows 7-10
•	Strong knowledge of the MS Office suite
•	Understanding of domains, user profiles and how they work
•	Understanding of Office 365 admin portal
•	Knowledge of VoIP technology
•	Strong analytical skills
•	A minimum of 5 years of recent experience troubleshooting various technology and user experiences
•	Self-motivated and high level of enthusiasm
•	Take a personal interest in, and responsibility for quality of work performed
•	Ability to pay close attention to detail while dealing with a robust flow of issues
•	Ability to articulate technical information clearly and simply to non-technical people

Key Performance Indicators
•	Customer Satisfaction Rating
•	Quantity & quality of tickets resolved
•	Quality & quantity of Technical Documentation created / updated",United States,119,4,29,4.67,45,2012-01-03T00:00:00.000Z,412875.68 USD
SEO Site Architecture Specialist Wanted: Plan Silos and Internal Links for Niche Websites,https://www.upwork.com/job/~018154a9d35ebabb2a,2021-07-18T02:08:02.000Z,0 USD,"For this role we are seeking an experience on-page SEO expert to perform keyword research and plan website silos for niche websites with 1000+ pages.  In this role you will have a chance to work remotely with a team of 32 people managing over 10 affiliate SEO niche websites that gets a combined 5million visitors a month.

Responsibilities for this role:
- given a provided niche, research all keyword in the space
- plan categories, sub-categories, and internal linking for maximum topical authority
- work with editorial teams to ensure internal linking is carried out according to plan and maintain documentation
- work with UX/UI designers to improve logical navigation between related pages in the same category

Benefits:
- work remotely with flexible hours
- long term work
- work in many competitive SEO niches like sports betting, dating, health, finance, and academia",United States,159,11,61,4.94,82,2018-04-15T00:00:00.000Z,175903.78 USD
Video Game Content Editor,https://www.upwork.com/job/~018ad734e6791ac2e3,2021-07-17T16:49:04.416Z,0 USD,"We are looking for a new video game content creator / editor to work 20 hours/ week starting immediately.  You should be intimately familiar with everything gaming.

I prefer someone who is just as capable as writing new content as editing.  Typically a few hundred new words are written every article edit as well.  

We cover everything Gaming from the video games themselves to the streaming apps(Discord, Twitch, etc)

We do require screenshots on ALL our articles as they are mainly instructional in nature so keep this in mind as it is an important part of every post. SEO writing and fluff is not wanted, we care about creating great and easy to follow content for our users.  

We are looking for someone efficient at their job, and who can:

a) Test the article as written

b) Take new screenshots as needed. This is important!

c) Cut fluff, add related questions, add information for more devices, etc",United States,113,1,55,4.94,77,2016-09-16T00:00:00.000Z,494973.32 USD
Agent support technique et relation client (Fluent in french),https://www.upwork.com/job/~0121f2a9c9635bb7eb,2021-07-17T14:01:11.276Z,0 USD,"Nous éditions un logiciel pour les professionnels de la construction, utilisé par des salariés de grands groupes, nous recherchons une personne pour renforcer notre équipe au  support technique et à terme prendre de plus en plus de responsabilités et d'autonomie. 
Face à notre activité croissante, le besoin est prévu pour la durée (6 mois / 1 an ou plus ) 

Après une période de formation au logiciel, vous allez prendre en main progressivement les demandes entrantes de support technique, les paramétrages de comptes, contribuer à enrichir le help desk et enfin former les utilisateurs

Support technique 

* Traiter et prioriser les demandes de support technique entrantes (tchat, email, téléphone) * Décrire le problème et le suivre jusqu'à résolution 
* Etre réactif pour le traitement de la demande entrante
* En coordination avec l'équipe technique assurer la remontée des bugs et demandes d'améliorations
* Tenir informé l'utilisateur de l'évolution puis de la résolution de son problème technique
* Au final avoir un utilisateur satisfait de la résolution de son problème technique en obtenant une note maximale à l'enquête de satisfaction 

Expérience client  / ""Care"" 

* Guider et conseiller les utilisateurs à travers nos ressources : vidéos de formations, guides, ressources en ligne
* Promouvoir les bonnes pratiques et ""astuces"" d'usage de la plateforme
* Décrocher son téléphone pour contacter les utilisateurs peu actifs (réactivation)

Parametrage : 
* Paramétrer les comptes clients pour leur onboarding sur le logiciel 
* Ajouter leurs documents, utilisateurs, setup projet
* Paramétrer les reporting client dans l'outil 

Le poste demande quelques compétences obligatoires : 
- Etre très à l'aise avec les outils informatiques : Exemple pour pouvoir aider un client qui n'a pas bien compris un usage et qui croit que c'est un bug 
- Avoir déjà beaucoup travaillé sur les outils type Intercom, hubspot pour le tchat, 
- Avoir travaillé sur des outils de suivi de bug : Pivotal tracker (ou JIRA ou equivalent) 
- Français sans faute  à l'oral et à l'écrit 
- Vous êtes empathique et altruiste
-  Vous êtes extrêmement rigoureux et fiable (d'ailleurs  comme vous êtes rigoureux vous commencerez la lettre de motivation par #jaimelesclients )
- Vous savez gérer la pression et êtes rassurant
- Vous avez déjà une bonne expérience sur du support technique
- Vous apprenez vite et êtes très autonome et débrouillard

Profil : 
- Pas besoin de connaissance de développement 
- La connaissance du BTP et de la construction est un plus 
- Expérimenté en support technique
- Expérimenté en relation client ",France,117,1,99,4.96,85,2015-10-01T00:00:00.000Z,29180.07 USD
SEO Marketing Manager,https://www.upwork.com/job/~01b8d6878aafa90605,2021-07-17T13:56:48.000Z,0 USD,"This role is related to SEO projects. Below are most of the responsibilities:

- Manage lists of new leads by filtering through them, finding contact information, etc. Virtual Assistants will be made available but you will need to provide clear instructions and follow up with them as needed to make sure things are moving forward.
- Create, edit, and optimize email templates/sequences with the goal of increasing response rates.
- Meticulously organize all leads into stages within Streak (CRM) to make sure no one is accidentally forgotten at any given stage.
- Promptly get back to leads who respond, make sure product is sent to them as needed, and follow up with them in an organized manner.
- Participate in 1-2 calls per week to discuss strategy and progress.

Important requirements:
- Your English speaking and writing level should be at a fluent level. You will be writing/editing many email templates, and responding to various leads on a daily basis.
- You must be very tech savvy. Not only will you need to get accustomed to new platforms to perform some of these tasks, but you’ll also need to be resourceful for finding information online as needed.

Apps to use:
- Slack to communicate with other team members
- Asana to manage projects, tasks, and progress
- MixMax to send email templates and sequences
- Streak to manage lead stages
- Google Suite (Gmail, Google Docs, Google Sheets, etc) as needed

Time commitment: 10-15 hours per week",United States,43,2,8,4.96,25,2014-02-06T00:00:00.000Z,109597.99 USD
Remote Cyber Security / IT Recruiter,https://www.upwork.com/job/~01416100365624b825,2021-07-17T12:55:25.891Z,0 USD,"Remote Cyber Security / IT Recruiter 

This person will source and attract top talent to fill both our technical and non-technical positions. You will source and message passive candidates through LinkedIn Recruiter, screen candidates to determine qualifications, and guide them through the interview process. This person will assist with extending job offers, negotiating compensation, and will play an integral part in getting candidates to onboard with our clients. You will work with hiring managers to provide your expertise and suggestions on best practices and collaboratively create a recruiting strategy. You will work across all departments in the organization including but not limited to sales, pre-sales, professional services, product management, product marketing, marketing, technical support, accounting/finance and G&A.


Responsibilities

•	Manage all stages of the recruiting life cycle including sourcing, messaging, scheduling and screening candidates, debriefing with hiring managers and assisting with job offers.

•	Be the main point of contact for candidates throughout the entire interview process, ensuring timely communication and feedback

•	Prioritizing and providing best-in-class candidate experience

•	Manage multiple and various positions across the organization, including technical and non-technical positions

•	Partner with hiring managers and take on a consultative approach to provide your expertise on recruiting best practices, recruiting strategy, and interview process

•	Schedule and coordinate all candidate interviews throughout the process


Who You Are

The ideal candidate is an experienced recruiter and enjoys working on a variety of roles, both technical and non-technical and spanning from entry-level to senior-level. You enjoy being involved in the entire recruiting process from the day the job is approved up until the candidate's first day. You have excellent time management skills, have the ability to work under deadlines, and understand how to prioritize multiple positions.


Requirements

•	3-5 years of recruiting experience

•	2+ years of Cyber Security or IT recruiting experience

•	Experience with all stages of the recruiting lifecycle including sourcing and negotiating compensation

•	Proven skills with sourcing for passive candidates and an understanding of what it takes to get them to respond with interest

•	Experienced closer, understanding what it takes to get candidates to choose Stream even if they have competing offers

•	Understanding of recruiting metrics and how to utilize them to influence hiring decisions

•	Ability to work in a fast-paced environment and on a lean team



Bonus Points

•	Experience recruiting for a startup or high-growth company

•	A mixture of agency and corporate recruiting experience

•	You are a seasoned recruiter in the networking, network security, SD-WAN or SASE",United States,76,2,83,5.0,59,2011-10-22T00:00:00.000Z,209832.09 USD
PowerBI Dashboard Builder and Analyst,https://www.upwork.com/job/~01e4cecd9f3e5d9ed6,2021-07-17T10:52:42.915Z,0 USD,"Screener Questions:  

Experience using at least one BI reporting tool, such as PowerBI, Tableau, Google Data Studio, or Looker. Please specify 

Position Overview: 

Brightfield is looking for a business intelligence analyst with excellent communication skills and demonstrated experience with data visualizations. You will support our product teams by creating and updating BI reports and using your sense of design to tell a story with our data. You’re comfortable fielding a question from a non-technical stakeholder about our dataset and then putting together a data visualization with the answer.  

You will be the technical liaison to our insights analysts, marketing department, and incoming client queries, the one who can take “pie-in-the-sky” ideas and questions and translate them into compelling reports, internal tools, and answers. Being well versed in data visualization will be crucial to encompass the analysts big ideas, and distill them down into digestible reports for our consumers. 

 
A typical day for you will be a product team standup, attending brainstorming sessions for new reports, creating mockups after the brainstorming session, spending some time fixing bugs discovered by our testing process, collaborating with the engineers to validate data processing, building an ad hoc tool from our syndicated data in PowerBI or Google Data Studio, and summarizing answers and fleshing out insights generated from your data visualizations.  

The right candidate has experience with one or more Business Intelligence (BI) tools such as Tableau or PowerBI, is able to juggle competing priorities with finesse, and has excellent verbal and written communication skills. While it’s not essential, you will benefit from some understanding of the Python data science stack and big query, as our tech stack and underlying data lake encompasses: Python, Google BigQuery, PowerBI, spaCy, pandas, Airflow, and Docker.  

Working in a fast-paced, flexible, start-up environment; we welcome your adaptability, curiosity, passion, grit, and creativity to contribute to our cutting-edge research of the emerging, growing, and fascinating industries we serve.  

About Brightfield Group. Brightfield Group is a market research company comprised of a diverse team of experts across the country with years of experience analyzing emerging opaque markets with the most sophisticated analytical and statistical tools available. We provide the most accurate and comprehensive consumer, brand, and market insights into the CBD, cannabis, and wellness industries providing a critical edge in these quickly emerging and competitive markets. We accomplish this through cutting-edge social listening, expertly constructed surveys, triangulated market-sizing, innovative online data-crawlers, and thorough, empathic qualitative research. Our growing product teams leverage the latest technology in natural language processing & machine learning to provide the most holistic view of emerging industries and their consumers. 

Key Responsibilities: 

Refresh our syndicated dashboards and rollout compelling new visualizations into our syndicated offerings each quarter.  

Build ad hoc data visualizations to answer questions of our data 

Work with data engineers and content experts to support and actively contribute to report writing and answers to client questions 

Respond to general data requests to meet internal and external needs 

Qualifications & Skills:  

REQUIRED:  

Excellent communication skills and demonstrated ability to collaborate with non-technical stakeholders to create compelling answers to tough data questions  

Experience using at least one BI reporting tool, such as PowerBI, Tableau, Google Data Studio, or Looker  

Effective multi-tasker who can have multiple projects going at once 

An interest and desire to dig into some coding tasks 

At least a basic knowledge of HTML and CSS 

Support with updating and writing documentation to ensure a sustainable and collaborative knowledge-base 

Working knowledge of Microsoft Office tools (e.g., Word, Excel, OneNote) 

PREFERRED: 

3-5 years of experience working full-time with at least one BI reporting tool; we use PowerBI and Data Studio 

1-3 years of experience working full-time with Python for data science; we use pandas, scikit-learn, and numpy 

Entry level SQL experience; we use Standard SQL ",United States,44,5,13,4.82,25,2015-10-21T00:00:00.000Z,180360.4 USD
Technical Project Manager,https://www.upwork.com/job/~01c78eb6468ab4b0c0,2021-07-17T10:43:53.243Z,0 USD,"Technical Project Manager
 
Position Overview: 
 
Do you want to break the mold in how market research is conducted? Illuminate emerging industries like cannabis and CBD from multiple and nuanced angles? Use A.I. to capture what makes consumers thrive and light up?  
 
You are an experienced technical product manager hungry to support building a new paradigm. You will join a cross-functional product wing of industry experts, programmers, and data analysts. As the technical project manager, you will guide our agile project development for our custom wing. Our technology enables the ETL transformation of data from collection to production in PowerBI Dashboards. Our team includes devop programmers, data scientists, industry analysts, and PowerBI developers. While the software team endeavors to apply Agile methodologies, we also aim to complement and converge with research and marketing processes. Working in a fast-paced, flexible, start-up environment, we welcome your adaptability, passion, grit, and creativity. 
 
About Brightfield Group. Brightfield Group is a market research company composed of experts across the country with years of experience analyzing opaque markets with the most sophisticated analytical and statistical tools available. We provide the most accurate and comprehensive consumer, brand, and market insights into emerging industries like CBD and cannabis, illuminating a critical edge in these fast-changing, competitive markets. We accomplish this through cutting-edge social listening, expertly constructed surveys, triangulated market-sizing, innovative online data-crawlers, and thorough, empathic qualitative research. In addition, our growing product teams leverage the latest technology in NLP, machine learning, and artificial intelligence to provide the most holistic view of emerging wellness industries and their consumers. 
 
Responsibilities:
Maintaining the project timeline within Asana
Manage documentation requirements
Communicating and aligning the status of the development life cycle to support product and research and development priorities.
Capture and document product requirements and partner with our engineering team to develop those products
Manage internal and external customer expectations by effectively prioritizing resources, work, and negotiating product/project needs.
Communicating and adjusting priorities with data engineers.
Creating and maintaining Agile cards as they flow through the SDLC our agile management.
Shepherding quality-related processes with engineers during different stages of 
Understanding technical details of software projects and communicating their impact to external stakeholders
Required Skills/Abilities:
Excellent organizational skills and attention to detail.
Excellent time management skills with a proven ability to meet deadlines.
Ability to function well in a high-paced and at times stressful environment
Excellent verbal and written communication skills.
3+ years experience in project management
Strong written and verbal communication skills.
3+ years relevant experience in technology management in a high growth/high velocity environment.
Ability to capture, document and present requirements without any assistance
Ability to collaborate effectively with remote teams across geographies and time zones is essential.
Comfortable working in an agile environment and with cross-functional teams, should have appetite to learn and be flexible to pick up new technology
Organized, deliberate, and reliable in structuring work, and effective as a problem solver.
 
 
",United States,44,5,13,4.82,25,2015-10-21T00:00:00.000Z,180360.4 USD
Technical Project Manager,https://www.upwork.com/job/~0169672f504f6f1166,2021-07-17T10:39:25.682Z,0 USD,"Technical Project Manager
 
Position Overview: 
 
Do you want to break the mold in how market research is conducted? Illuminate emerging industries like cannabis and CBD from multiple and nuanced angles? Use A.I. to capture what makes consumers thrive and light up?  
 
You are an experienced technical product manager hungry to support building a new paradigm. You will join a cross-functional product wing of industry experts, programmers, and data analysts. As the technical project manager, you will guide our agile project development for our custom wing. Our technology enables the ETL transformation of data from collection to production in PowerBI Dashboards. Our team includes devop programmers, data scientists, industry analysts, and PowerBI developers. While the software team endeavors to apply Agile methodologies, we also aim to complement and converge with research and marketing processes. Working in a fast-paced, flexible, start-up environment, we welcome your adaptability, passion, grit, and creativity. 
 
About Brightfield Group. Brightfield Group is a market research company composed of experts across the country with years of experience analyzing opaque markets with the most sophisticated analytical and statistical tools available. We provide the most accurate and comprehensive consumer, brand, and market insights into emerging industries like CBD and cannabis, illuminating a critical edge in these fast-changing, competitive markets. We accomplish this through cutting-edge social listening, expertly constructed surveys, triangulated market-sizing, innovative online data-crawlers, and thorough, empathic qualitative research. In addition, our growing product teams leverage the latest technology in NLP, machine learning, and artificial intelligence to provide the most holistic view of emerging wellness industries and their consumers. 
 
Responsibilities:
Maintaining the project timeline within Asana
Manage documentation requirements
Communicating and aligning the status of the development life cycle to support product and research and development priorities.
Capture and document product requirements and partner with our engineering team to develop those products
Manage internal and external customer expectations by effectively prioritizing resources, work, and negotiating product/project needs.
Communicating and adjusting priorities with data engineers.
Creating and maintaining Agile cards as they flow through the SDLC our agile management.
Shepherding quality-related processes with engineers during different stages of 
Understanding technical details of software projects and communicating their impact to external stakeholders
Required Skills/Abilities:
Excellent organizational skills and attention to detail.
Excellent time management skills with a proven ability to meet deadlines.
Ability to function well in a high-paced and at times stressful environment
Excellent verbal and written communication skills.
3+ years experience in project management
Strong written and verbal communication skills.
3+ years relevant experience in technology management in a high growth/high velocity environment.
Ability to capture, document and present requirements without any assistance
Ability to collaborate effectively with remote teams across geographies and time zones is essential.
Comfortable working in an agile environment and with cross-functional teams, should have appetite to learn and be flexible to pick up new technology
Organized, deliberate, and reliable in structuring work, and effective as a problem solver.
 
 
",United States,44,5,13,4.82,25,2015-10-21T00:00:00.000Z,180360.4 USD
NLP Data Scientist and Project Manager,https://www.upwork.com/job/~01358e76e8ffdc7a83,2021-07-17T10:21:16.098Z,0 USD,"Position Overview: 
 
Do you want to break the mold in how market research is conducted? Illuminate emerging industries like cannabis and cbd from multiple and nuanced angles? Use A.I. to capture what makes consumers thrive and light up?  
 
You are an experienced NLP data scientist looking to build a new paradigm. You will join a cross-functional product wing of industry experts, programmers, and data analysts. As the natural language processing (NLP) Machine Learning Data Scientist, you will take the lead improving the accuracy of our primary data entities; spearhead the selection of cutting-edge algorithms and innovative approaches to user-attribute predictions; and shepherd good intuition about digital menu and social data. You'll be constantly learning and constantly teaching, expanding your skills across the stack and bringing in new technologies and methods to the team.
 
Working in a fast-paced, flexible, start-up environment; we welcome your adaptability, passion, grit, and creativity. Because this role is in frequent collaboration with industry experts from multiple fields (psychology, cannabis, cbd, social media), curiosity and interpersonal skills are especially valued in addition to strong coding skills in  Python.  
 
About Brightfield Group. Brightfield Group is a market research company composed of a team of experts across the country with years of experience analyzing opaque markets with the most sophisticated analytical and statistical tools available. We provide the most accurate and comprehensive consumer, brand, and market insights into emerging industries like CBD and cannabis, illuminating a critical edge in these fast changing, competitive markets. We accomplish this through cutting-edge social listening, expertly constructed surveys, triangulated market-sizing, innovative online data-crawlers, and thorough, empathic qualitative research. Our growing product teams leverage the latest technology in NLP, machine learning, and artificial intelligence to provide the most holistic view of emerging wellness industries and their consumers. 
 
Key Responsibilities: 
Leverage text mining and NLP tools to derive meaning and insights from unstructured data
Write efficient, scalable code to munge, clean, and derive intelligence from our data 
Collaborate with research teams to develop tools that provide efficiency and optimization to their analysis techniques
Support the engineering development team in the productization of developed solutions
Effectively communicate complex ideas to both a technical and non-technical audience
Write efficient, scalable code to munge, clean, and derive intelligence from our data
Carry out data science with an emphasis on Natural Language Processing, data analysis & Visualization 
 
Qualifications & Skills:  
 
REQUIRED: 
Experience (3 + years) using modern NLP systems and processes, ideally spaCy 
Prior work experience (3 to 5 years) developing and deploying text and data mining solutions 
Fluency in the core tenants of the Python data science stack: SQL, pandas, scikit-learn, etc.  
Fast learner, dynamic and motivated, not afraid to push boundaries
Strategic thinker with solid analytical and problem-solving skills 
Familiarity with annotation processes and/or clean data to align market research with the latest insights and best practices

PREFERRED: 
Strong familiarity with web scraping and common frameworks. We use the scrapy framework
Demonstrated ability to collaborate effectively with non-technical stakeholders 
2-5 years experience in a data-oriented Python role, including use of: 
Google Big Query 
Google Compute Engine 
Airflow 
CI/CD: We use GitHub Actions
Docker
Experience working with a business intelligence tool  (e.g., PowerBI, Looker, Tableau, etc.)
",United States,44,5,13,4.82,25,2015-10-21T00:00:00.000Z,180360.4 USD
